mass,recclass,year,reclat,reclong
147,L6,2001,19.185530,54.657970
1332,H5,2001,19.120120,54.814000
332,L6,2001,19.116080,54.822830
361,H5,2001,19.112120,54.820220
830,H5,2001,19.109480,54.816200
146,H5,2001,19.107900,54.812670
1395,H5,2001,19.109820,54.817380
79,LL5,2001,19.114120,54.816420
436,L6,2001,19.111070,54.615570
261,L6,2001,19.068200,54.775130
718,L5,2001,19.198200,54.882270
251,L5,2001,19.195800,54.861900
103,L6,2001,19.202770,54.655620
1521,L6,2001,19.202770,54.600480
72,L6,2001,19.178650,54.698080
135,L6,2001,18.192820,53.808020
124,H6,2001,18.650650,53.924920
704,L6,2001,18.660800,53.904570
147,L6,2001,19.181550,54.687380
133,LL6,2001,19.189470,54.641980
33,L6,2001,19.193650,54.637470
114,L6,2001,19.193650,54.776600
400,H5,2001,19.119530,54.835630
724,H4,2001,19.091070,54.796280
1511,H5,2001,19.098150,54.806620
633,H5,2001,19.098000,54.803570
424,H5,2001,19.116280,54.809500
500,H5,2001,19.100500,54.772920
425,H5,2001,19.099080,54.806700
81,L6,2001,19.085370,54.751280
453,H6,2001,19.203180,54.605550
1493,L6,2001,19.206300,54.608300
852,L6,2001,19.213050,54.610980
110,L6,2001,19.221570,54.624780
533,L6,2001,19.223980,54.632230
698,H5,2001,19.266300,54.671400
1653,H5,2001,19.271630,54.669570
69,L6,2001,19.293300,54.687300
109,H5,2001,19.303170,54.698500
126,H5,2001,19.306970,54.713550
405,L5,2001,19.312680,54.718900
530,L6,2001,19.344500,54.728350
513,L5,2001,19.353350,54.740200
1769,L6,2001,19.411800,54.761880
428,L5,2001,19.406720,54.758220
101,H5,2001,19.421200,54.795200
147,H5,2001,19.429770,54.803970
233,L6,2002,19.236670,54.758330
409,L6,2002,19.383330,54.595000
268,H4,2001,19.187000,54.777330
444,H4,2002,19.103330,54.828330
220,L5,2002,19.148330,54.803330
2878,H4,2002,19.165000,54.776670
205,L5,2001,19.173330,54.875000
280,L4,2001,18.891670,54.586670
283,L6,2001,18.816670,54.261670
255,H5,2001,19.053330,54.533330
205,L5,2001,18.425000,54.160000
336,LL6,2001,18.385000,54.135000
182,L6,2001,18.460000,54.006670
370,L5,2001,18.498330,54.043330
577,L6,2001,18.698330,54.613330
362,H6,2001,18.715000,54.358330
207,H5,2000,18.251670,54.425000
361,LL5,2001,19.166670,54.583330
6,L6,2001,19.326670,54.785000
38,L5,2002,19.313330,54.851670
12,L4,2002,19.255000,54.800000
392,H4,2000,18.945000,54.895000
13605,H4,2001,18.791670,54.153330
166,H5,2001,18.683330,54.218330
48,LL5,2001,19.146670,54.586670
14,H4,2001,19.150000,54.576670
262,L6,2001,19.341670,54.733330
329,H5,2001,19.343330,54.733330
141,L6,2002,19.193330,54.701670
132,H6,2002,19.260000,54.805000
3600,H4,2000,18.886370,54.654520
969,H6,2000,18.275620,54.321820
1030,H6,2000,18.771520,54.716380
1730,LL6,2000,18.877300,54.780350
742,L6,2000,18.837830,54.671170
1155,H6,2000,18.892130,54.712850
444,L6,2000,18.727430,54.767050
538,H4,2000,18.853670,54.647050
547,L6,2000,18.316670,54.235780
362,H5,2000,18.421120,54.588530
471,H5,2000,18.853830,54.647000
253,L6,2000,18.964500,54.757220
163,L5,2000,18.944550,54.674030
107,H6,2000,19.060580,54.521130
235,H6,2000,18.751330,54.719080
190,L5,2000,18.864920,54.649720
195,H5,2000,18.830620,54.766450
135,L5,2000,18.943620,54.670670
152,H6,2000,18.277600,54.323580
317,H6,2000,18.832300,54.765830
250,L6,2000,18.962650,54.751080
114,H5,2000,18.850120,54.623270
9187,L6,2000,19.085500,54.762430
295,H5,2000,18.847300,54.535380
115,L6,2000,18.692250,54.591180
212,H5,2000,18.903330,54.704520
121,L5,2000,18.862080,54.679370
102,LL6,2000,18.841220,54.756400
126,L5,2000,18.941370,54.695450
1200,H5,2000,18.571350,54.714780
708,L6,2000,18.412120,54.628930
426,H6,2000,18.620470,54.715450
590,H5,2000,18.954720,54.804680
382.5,H4,2001,19.029220,54.544730
274.38,H4,2001,19.029480,54.544370
430.54,L6,2001,19.037920,54.537030
20.45,H6,2001,19.066320,54.521970
146.52000000000001,H6,2001,19.069430,54.521350
519.02,H5,2001,19.068430,54.535020
151.13,H6,2001,19.041830,54.556470
431.81,H6,2001,19.051620,54.463380
32.18,L6,2001,19.048700,54.529100
246.38,H4,2001,19.059070,54.536930
132.19,H6,2001,19.060400,54.536720
18.43,H6,2001,19.060500,54.536770
56.11,H4,2001,19.070400,54.538380
55.88,L4,2001,19.062520,54.550480
119.15,H6,2001,19.055680,54.551080
199.43,H6,2001,19.052330,54.541950
22.43,H6,2001,19.058600,54.535030
44.4,H6,2001,19.061550,54.534620
237.94,L6,2001,18.919250,54.266920
117.24,L5,2001,18.565280,54.080700
1260,H5,2001,18.504280,54.085900
2.5,L6,2001,18.179980,54.203670
25.42,L4,2001,18.564500,54.096270
82.57,H4,2001,18.560950,54.099830
19.32,H5,2001,18.558100,54.103900
24.87,L5,2001,18.562400,54.108950
75.87,L5,2001,18.549700,54.120230
99.81,H5,2001,18.962200,54.590120
89.45,H5,2001,18.962200,54.590120
23.86,H5,2001,18.979230,54.628180
164.75,H4,2001,19.019820,54.513980
82.43,H6,2001,19.025420,54.506330
72.14,H4,2001,19.040280,54.493870
49.3,H4,2001,19.045870,54.494520
133.22,H4,2001,19.045600,54.494000
39.299999999999997,L5,2001,19.048920,54.492670
23.33,H4,2001,19.050250,54.492420
12.05,H6,2001,19.060130,54.531820
50.44,H6,2001,19.060270,54.543480
63.98,H6,2001,19.060450,54.543670
134.99,H6,2001,19.058770,54.547380
225.86,H5,2001,19.059780,54.562680
19.68,H6,2001,19.060030,54.578800
15.68,H5,2001,19.044930,54.476370
22.29,H4,2001,19.047970,54.489120
4.04,H4,2001,19.062280,54.497350
160.09,H5,2001,18.644820,54.003930
170,H6,2002,19.328330,54.763330
126,H5,2002,18.528330,54.003330
126,H4,2002,19.341670,54.560000
100,H6,2002,18.630000,54.050000
136.75,L5,2001,19.188330,54.798330
147,L6,2001,19.176670,54.678330
182,L6,2001,18.391670,54.160000
190,H4,2001,18.408330,54.130000
156,H6,2001,18.343330,54.093330
130,H6,2001,18.461670,54.010000
162,L5,2001,18.201670,54.280000
146,L6,2001,18.181670,54.096670
62,H5,2001,18.458330,54.571670
122,H4,2001,18.243330,54.135000
50,L6,2001,18.980000,54.541670
142,L6,2001,18.880000,54.616670
145,L6,2001,18.395000,54.270000
126,H6,2001,18.395000,54.136670
93.5,H5,2001,19.178330,54.825000
182,H6,2001,19.031670,54.511670
50,H5,2002,19.160000,54.586670
102,L5,2002,19.383330,54.593330
1233,L6,2002,18.163330,54.160000
19,H4,2003,18.978330,54.408330
88,H4,2003,18.695000,54.250000
76,LL6,2003,18.913330,54.416670
8,H5,2003,19.205000,54.526670
1350,H4,2002,19.096670,54.791670
12,LL6,2003,19.306670,54.551670
60,H5,2003,18.666670,54.160000
26,L6,2003,18.918330,54.408330
144,L6,2003,18.625000,54.430000
2270,L6,2003,19.405000,54.570000
185,L6,2002,19.163330,54.668330
411,L5,2002,19.073330,54.748330
795,H5,2002,19.136670,54.563330
178,L5,2002,19.113330,54.750000
602,L5,2002,18.516670,54.228330
105,L6,2002,19.105000,54.818330
64,L4,2001,19.166670,54.871670
48,H4,2000,19.288330,54.695000
68,H4,2000,18.925000,54.598330
1500,H5,2002,19.105000,54.811670
62,H4,2000,18.893330,54.731670
67,L5,2002,19.181670,54.578330
1248,LL5,2002,19.405000,54.575000
508,H5,2002,18.208330,54.120000
74,L6,2002,18.581670,54.196670
113,L5,2002,19.166670,54.403330
166,L5,2002,19.051670,54.765000
86,H5,2002,19.243330,54.536670
74,H5,2002,19.095000,54.731670
2412,LL5,2002,19.165000,54.403330
158,L5,2002,19.398330,54.595000
38,H5,2002,19.125000,54.678330
274,H6,2002,18.631670,54.231670
68,H6,2002,19.065000,54.761670
45,H4,2002,19.135000,54.565000
212,H4,2002,18.535000,54.133330
114,L4,2002,19.216670,54.656670
550,H4,2002,19.091670,54.386670
400,H5,2002,19.085000,54.770000
702,L6,2002,19.386670,54.576670
63.5,H4,2004,19.155470,54.555500
1592,H4,2004,19.126000,54.856330
247,L6,2004,19.153140,54.960170
868,L5,2004,19.192170,54.985500
79,H4,2004,19.296670,54.933600
737.4,H5,2004,19.300220,54.858440
108.3,L4,2004,19.369470,54.838280
8.1,H5,2004,19.385170,54.833670
423.5,H4,2004,19.268310,54.846940
4230,L4,2004,19.219390,54.918580
2467,L4,2004,19.228780,54.939530
82.6,H6,2004,19.171170,54.906000
33,H4,2004,19.197330,54.917170
153.9,LL6,2004,19.224780,54.923170
69.3,H4,2004,19.231390,54.923330
608.5,H6,2004,19.234390,54.916810
165.3,H4,2004,19.253170,54.836170
12,LL6,2004,19.258000,54.835670
213.9,L6,2004,19.317830,54.729500
243.2,H5,2003,19.140200,54.681420
2717,LL5,2003,19.163650,54.661270
20.89,H5,2001,18.268170,54.150670
246.6,L6,2004,33.663480,-114.292070
440,H5,2001,40.081730,-115.936730
16000,H5,1944,-36.500000,142.033330
44000,L6,1927,41.233330,-103.483330
30616,LL6,2003,25.155920,0.822130
4570.2,L6,2003,25.086830,0.832400
219.9,H5,2002,null,null
1.85,LL5,2003,null,null
928,LL5,2002,null,null
1494.2,L5,2002,null,null
845.6,LL5,2002,null,null
701.4,L5,2002,null,null
1005.4,L5,2002,null,null
504,L5,2002,null,null
594.4,H5,2002,null,null
227.4,L5,2002,null,null
298.7,H5,2002,null,null
213.1,LL5,2002,null,null
225.9,LL6,2002,null,null
142.30000000000001,LL6,2002,null,null
188.6,LL5,2002,null,null
261.8,LL5,2002,null,null
143.9,H5,2002,null,null
147.80000000000001,L5,2002,null,null
116.3,L5,2002,null,null
116.2,L5,2002,null,null
93.2,L5,2002,null,null
67.599999999999994,H5,2002,null,null
70.2,H4,2002,null,null
65.7,H5,2002,null,null
110.5,LL5,2002,null,null
78.8,H5,2002,null,null
45.8,L5,2002,null,null
79.900000000000006,L5,2002,null,null
47,L5,2002,null,null
50.3,LL5,2002,null,null
44.4,H5,2002,null,null
17.3,H5,2002,null,null
15.5,H5,2002,null,null
28.8,LL5,2002,null,null
25.1,H5,2002,null,null
45.1,H6,2002,null,null
53.9,H5,2002,null,null
26.4,H6,2002,null,null
8.1,L5,2002,null,null
11.6,L5,2002,null,null
4.2,L5,2002,null,null
3.7,LL5,2002,null,null
5,LL5,2002,null,null
3.1,L5,2002,null,null
3.3,LL5,2002,null,null
3.8,LL6,2002,null,null
5.9,L4,2002,null,null
4.6,L5,2002,null,null
17,L5,2002,null,null
28.7,H4,2002,null,null
21,H5,2002,null,null
83.1,H6,2002,null,null
69.5,L6,2002,null,null
290.89999999999998,LL5,2002,null,null
95,LL6,2002,null,null
67.2,H5,2002,null,null
136.9,H5,2002,null,null
91.3,LL5,2002,null,null
262.39999999999998,LL5,2002,null,null
73.099999999999994,L5,2002,null,null
104.6,H5,2002,null,null
90,LL5,2002,null,null
20.5,LL5,2002,null,null
604.29999999999995,LL5,2002,null,null
674.8,LL5,2002,null,null
404.4,H6,2002,null,null
1201.4000000000001,H5,2002,null,null
548.4,LL5,2002,null,null
433.9,L5,2002,null,null
323.60000000000002,L5,2002,null,null
341,LL5,2002,null,null
393.8,LL5,2002,null,null
395.9,LL6,2002,null,null
308.5,LL5,2003,null,null
215.4,LL5,2003,null,null
273.5,LL5,2003,null,null
95.3,LL6,2002,null,null
83.3,L5,2002,null,null
72.2,LL5,2002,null,null
72.099999999999994,L5,2002,null,null
72.5,LL5,2002,null,null
49.6,LL5,2002,null,null
61.8,LL5,2002,null,null
30.78,LL5,2003,null,null
36.590000000000003,LL5,2003,null,null
81.14,LL5,2003,null,null
39.53,LL5,2003,null,null
34.53,LL5,2003,null,null
24.36,LL5,2003,null,null
25.53,LL5,2003,null,null
16.07,LL5,2003,null,null
48.81,LL5,2003,null,null
41.08,LL5,2003,null,null
57.74,LL6,2003,null,null
11.34,LL6,2003,null,null
24.29,LL5,2003,null,null
14.89,L6,2003,null,null
6.82,L5,2003,null,null
25.46,L6,2003,null,null
25.15,H5,2003,null,null
36.01,L6,2003,null,null
85.79,H5,2003,null,null
13.1,L5,2002,null,null
42.6,L5,2002,null,null
52.2,H5,2002,null,null
34.1,LL5,2002,null,null
31.3,L5,2002,null,null
20.6,L5,2002,null,null
42.8,L5,2002,null,null
11,LL6,2002,null,null
9.9,L6,2002,null,null
18.2,L5,2002,null,null
21.4,L5,2002,null,null
15.7,L5,2002,null,null
13.1,L5,2002,null,null
21.3,LL5,2002,null,null
13,L5,2002,null,null
26.4,LL5,2002,null,null
21,H4,2002,null,null
14.5,L5,2002,null,null
37.6,LL5,2002,null,null
38.200000000000003,H5,2002,null,null
13.75,LL5,2003,null,null
27.09,LL5,2003,null,null
16.52,H5,2003,null,null
8.210000000000001,H5,2003,null,null
7.97,L5,2003,null,null
12.6,LL5,2003,null,null
11.39,L5,2003,null,null
2964.7,H5,2003,null,null
3449.7,L5,2003,null,null
2176.6999999999998,L5,2003,null,null
24.7,H5,2008,0.000000,0.000000
1021.1,LL5,2008,0.000000,0.000000
1447.8,LL6,2008,0.000000,0.000000
1434.5,LL5,2008,0.000000,0.000000
1020.6,LL5,2008,0.000000,0.000000
1009.1,LL5,2008,0.000000,0.000000
825.3,LL5,2008,0.000000,0.000000
834.1,LL6,2008,0.000000,0.000000
912.3,LL6,2008,0.000000,0.000000
566.1,LL6,2008,0.000000,0.000000
222.5,LL6,2008,0.000000,0.000000
240.6,LL6,2008,0.000000,0.000000
281.7,L5,2008,0.000000,0.000000
227,LL5,2008,0.000000,0.000000
255.3,L5,2008,0.000000,0.000000
325.89999999999998,LL6,2008,0.000000,0.000000
212.4,LL5,2008,0.000000,0.000000
319.7,LL5,2008,0.000000,0.000000
96.9,L5,2008,0.000000,0.000000
251.4,LL6,2008,0.000000,0.000000
153.1,LL6,2008,0.000000,0.000000
172.6,LL5,2008,0.000000,0.000000
131.30000000000001,LL6,2008,0.000000,0.000000
89.8,LL6,2008,0.000000,0.000000
106.7,LL6,2008,0.000000,0.000000
145.80000000000001,LL5,2008,0.000000,0.000000
125.5,LL6,2008,0.000000,0.000000
83.5,LL5,2008,0.000000,0.000000
124.4,LL6,2008,0.000000,0.000000
82.9,LL6,2008,0.000000,0.000000
122.4,LL5,2008,0.000000,0.000000
78.8,LL6,2008,0.000000,0.000000
64.8,LL6,2008,0.000000,0.000000
70.3,LL5,2008,0.000000,0.000000
154.19999999999999,LL6,2008,0.000000,0.000000
193.1,LL5,2008,0.000000,0.000000
88.7,LL5,2008,0.000000,0.000000
74.599999999999994,LL5,2008,0.000000,0.000000
68.2,L6,2008,0.000000,0.000000
44.3,LL6,2008,0.000000,0.000000
65.900000000000006,LL6,2008,0.000000,0.000000
44.2,L6,2008,0.000000,0.000000
54.2,LL6,2008,0.000000,0.000000
88,LL6,2008,0.000000,0.000000
49.4,LL6,2008,0.000000,0.000000
48.4,L5,2008,0.000000,0.000000
51.6,LL6,2008,0.000000,0.000000
58.7,LL6,2008,0.000000,0.000000
39.299999999999997,L5,2008,0.000000,0.000000
56.3,LL6,2008,0.000000,0.000000
115.6,LL5,2008,0.000000,0.000000
28.9,LL6,2008,0.000000,0.000000
19.100000000000001,LL6,2008,0.000000,0.000000
34,LL6,2008,0.000000,0.000000
35.1,LL6,2008,0.000000,0.000000
23,L6,2008,0.000000,0.000000
28.4,LL6,2008,0.000000,0.000000
25,LL6,2008,0.000000,0.000000
38.700000000000003,LL6,2008,0.000000,0.000000
20.9,LL6,2008,0.000000,0.000000
16.5,LL6,2008,0.000000,0.000000
19.399999999999999,LL6,2008,0.000000,0.000000
16.8,LL6,2008,0.000000,0.000000
12.5,LL6,2008,0.000000,0.000000
149.9,LL5,2008,0.000000,0.000000
193.5,LL5,2008,0.000000,0.000000
255.2,LL5,2008,0.000000,0.000000
220.1,LL6,2008,0.000000,0.000000
247.9,L5,2008,0.000000,0.000000
10.3,LL6,2008,0.000000,0.000000
28.8,LL5,2008,0.000000,0.000000
38.200000000000003,LL5,2008,0.000000,0.000000
34.1,L5,2008,0.000000,0.000000
53.1,LL6,2008,0.000000,0.000000
33.9,LL6,2008,0.000000,0.000000
31.8,L6,2008,0.000000,0.000000
47.8,LL6,2008,0.000000,0.000000
24.4,LL5,2008,0.000000,0.000000
55.8,L5,2008,0.000000,0.000000
18,L5,2008,0.000000,0.000000
28.1,LL6,2008,0.000000,0.000000
56.4,LL6,2008,0.000000,0.000000
21.3,LL5,2008,0.000000,0.000000
21.2,L6,2008,0.000000,0.000000
15.4,LL6,2008,0.000000,0.000000
22.7,LL6,2008,0.000000,0.000000
18.899999999999999,LL6,2008,0.000000,0.000000
14.7,LL5,2008,0.000000,0.000000
28.8,LL6,2008,0.000000,0.000000
13.7,LL6,2008,0.000000,0.000000
16.2,LL6,2008,0.000000,0.000000
16.899999999999999,LL6,2008,0.000000,0.000000
14.9,LL6,2008,0.000000,0.000000
23.3,LL5,2008,0.000000,0.000000
86,L6,2008,0.000000,0.000000
36.299999999999997,L6,2008,0.000000,0.000000
30.8,LL6,2008,0.000000,0.000000
58.6,LL6,2008,0.000000,0.000000
27,LL6,2008,0.000000,0.000000
65.3,H6,2008,0.000000,0.000000
95.8,LL5,2008,0.000000,0.000000
43.9,H5,2008,0.000000,0.000000
102.8,L5,2008,0.000000,0.000000
54.7,LL5,2008,0.000000,0.000000
7.2,LL6,2008,0.000000,0.000000
6.5,LL6,2008,0.000000,0.000000
11.3,L6,2008,0.000000,0.000000
20.3,LL6,2008,0.000000,0.000000
18.2,LL6,2008,0.000000,0.000000
20.9,L6,2008,0.000000,0.000000
13.5,L5,2008,0.000000,0.000000
15,L5,2008,0.000000,0.000000
18.3,LL6,2008,0.000000,0.000000
14.2,LL6,2008,0.000000,0.000000
17.2,H5,2008,0.000000,0.000000
9.5,H5,2008,0.000000,0.000000
14.5,LL6,2008,0.000000,0.000000
9.300000000000001,L5,2008,0.000000,0.000000
14.9,L5,2008,0.000000,0.000000
12.8,L5,2008,0.000000,0.000000
18.8,H5,2008,0.000000,0.000000
13.7,LL6,2008,0.000000,0.000000
8.4,L6,2008,0.000000,0.000000
39.1,LL6,2008,0.000000,0.000000
20.399999999999999,LL6,2008,0.000000,0.000000
21.1,L5,2008,0.000000,0.000000
13.9,L6,2008,0.000000,0.000000
35.299999999999997,L5,2008,0.000000,0.000000
20.399999999999999,L5,2008,0.000000,0.000000
30,LL5,2008,0.000000,0.000000
44.1,LL6,2008,0.000000,0.000000
34,LL6,2008,0.000000,0.000000
43.4,H6,2008,0.000000,0.000000
12.2,LL6,2008,0.000000,0.000000
18.5,LL6,2008,0.000000,0.000000
17,H5,2008,0.000000,0.000000
9.300000000000001,LL6,2008,0.000000,0.000000
10.4,L5,2008,0.000000,0.000000
22.2,LL6,2008,0.000000,0.000000
14.4,LL6,2008,0.000000,0.000000
19.100000000000001,LL6,2008,0.000000,0.000000
6.9,L6,2008,0.000000,0.000000
13.8,L5,2008,0.000000,0.000000
35.6,LL6,2008,0.000000,0.000000
18.8,LL6,2008,0.000000,0.000000
31.2,H4,2008,0.000000,0.000000
19.899999999999999,L6,2008,0.000000,0.000000
60.7,L5,2008,0.000000,0.000000
50,LL6,2008,0.000000,0.000000
38.200000000000003,L6,2008,0.000000,0.000000
37.299999999999997,H5,2008,0.000000,0.000000
20.399999999999999,L5,2008,0.000000,0.000000
38.5,L6,2008,0.000000,0.000000
11,LL6,2008,0.000000,0.000000
17.399999999999999,LL6,2008,0.000000,0.000000
38,H6,2008,0.000000,0.000000
15.4,LL6,2008,0.000000,0.000000
28.4,LL6,2008,0.000000,0.000000
15.6,LL6,2008,0.000000,0.000000
8.4,LL6,2008,0.000000,0.000000
31,LL6,2008,0.000000,0.000000
22.5,LL6,2008,0.000000,0.000000
29.8,LL6,2008,0.000000,0.000000
22.7,LL5,2008,0.000000,0.000000
35.200000000000003,LL6,2008,0.000000,0.000000
42.7,LL5,2008,0.000000,0.000000
28.3,L6,2008,0.000000,0.000000
32.799999999999997,LL6,2008,0.000000,0.000000
49.3,LL6,2008,0.000000,0.000000
74.400000000000006,LL6,2008,0.000000,0.000000
27.9,LL6,2008,0.000000,0.000000
77.5,L6,2008,0.000000,0.000000
30.8,LL6,2008,0.000000,0.000000
15.5,LL6,2008,0.000000,0.000000
19.2,LL6,2008,0.000000,0.000000
23.3,LL6,2008,0.000000,0.000000
20.2,LL6,2008,0.000000,0.000000
14.4,LL6,2008,0.000000,0.000000
40.700000000000003,LL6,2008,0.000000,0.000000
28.3,L6,2008,0.000000,0.000000
22.6,LL6,2008,0.000000,0.000000
13.9,LL6,2008,0.000000,0.000000
21.6,L5,2008,0.000000,0.000000
15.9,LL5,2008,0.000000,0.000000
21.1,LL5,2008,0.000000,0.000000
21.8,L5,2008,0.000000,0.000000
33.200000000000003,LL5,2008,0.000000,0.000000
24.1,LL6,2008,0.000000,0.000000
17.7,LL6,2008,0.000000,0.000000
39,LL6,2008,0.000000,0.000000
22.6,LL6,2008,0.000000,0.000000
27.1,LL6,2008,0.000000,0.000000
25.4,L6,2008,0.000000,0.000000
15.9,LL6,2008,0.000000,0.000000
12.6,LL6,2008,0.000000,0.000000
8.199999999999999,H6,2008,0.000000,0.000000
9.300000000000001,LL5,2008,0.000000,0.000000
9.4,LL5,2008,0.000000,0.000000
14.6,LL6,2008,0.000000,0.000000
13,L6,2008,0.000000,0.000000
13.4,LL6,2008,0.000000,0.000000
18.3,L6,2008,0.000000,0.000000
21.9,LL6,2008,0.000000,0.000000
9.6,L5,2008,0.000000,0.000000
41.2,LL6,2008,0.000000,0.000000
16.600000000000001,LL6,2008,0.000000,0.000000
21.3,LL6,2008,0.000000,0.000000
31.6,L6,2008,0.000000,0.000000
21.7,LL6,2008,0.000000,0.000000
21.2,LL6,2008,0.000000,0.000000
20.399999999999999,L6,2008,0.000000,0.000000
18.100000000000001,LL6,2008,0.000000,0.000000
11.2,LL6,2008,0.000000,0.000000
29.6,LL6,2008,0.000000,0.000000
23.3,LL6,2008,0.000000,0.000000
20.399999999999999,LL6,2008,0.000000,0.000000
18.899999999999999,LL6,2008,0.000000,0.000000
37.5,LL5,2008,0.000000,0.000000
25.8,LL6,2008,0.000000,0.000000
27.6,H6,2008,0.000000,0.000000
31.3,LL6,2008,0.000000,0.000000
29.9,LL6,2008,0.000000,0.000000
24.2,H5,2008,0.000000,0.000000
37.4,LL6,2008,0.000000,0.000000
20.6,LL6,2008,0.000000,0.000000
25.1,H6,2008,0.000000,0.000000
43.2,LL6,2008,0.000000,0.000000
45.4,LL6,2008,0.000000,0.000000
42.2,LL6,2008,0.000000,0.000000
42.3,LL6,2008,0.000000,0.000000
61.7,LL6,2008,0.000000,0.000000
32.9,LL6,2008,0.000000,0.000000
72.2,LL5,2008,0.000000,0.000000
22.9,L6,2008,0.000000,0.000000
20,LL6,2008,0.000000,0.000000
28.8,LL6,2008,0.000000,0.000000
37.9,LL6,2008,0.000000,0.000000
25.5,LL6,2008,0.000000,0.000000
29.3,LL6,2008,0.000000,0.000000
78.5,LL5,2008,0.000000,0.000000
19.8,L5,2008,0.000000,0.000000
48.4,LL6,2008,0.000000,0.000000
64.2,LL6,2008,0.000000,0.000000
9,LL6,2008,0.000000,0.000000
22.6,L6,2008,0.000000,0.000000
15,LL6,2008,0.000000,0.000000
12.4,L5,2008,0.000000,0.000000
8.4,L5,2008,0.000000,0.000000
6.2,L6,2008,0.000000,0.000000
30.1,LL6,2008,0.000000,0.000000
19.8,LL6,2008,0.000000,0.000000
30,LL6,2008,0.000000,0.000000
29.3,LL6,2008,0.000000,0.000000
29.5,LL6,2008,0.000000,0.000000
65,L6,2008,0.000000,0.000000
52.7,LL6,2008,0.000000,0.000000
56.6,LL6,2008,0.000000,0.000000
33.200000000000003,LL6,2008,0.000000,0.000000
60.9,LL6,2008,0.000000,0.000000
36.799999999999997,LL6,2008,0.000000,0.000000
21,LL6,2008,0.000000,0.000000
83.6,LL6,2008,0.000000,0.000000
30.9,LL6,2008,0.000000,0.000000
24,L6,2008,0.000000,0.000000
15.3,LL6,2008,0.000000,0.000000
20.8,LL6,2008,0.000000,0.000000
8.9,L6,2008,0.000000,0.000000
25,LL6,2008,0.000000,0.000000
9.5,LL6,2008,0.000000,0.000000
12.6,LL6,2008,0.000000,0.000000
14,L6,2008,0.000000,0.000000
6.4,LL6,2008,0.000000,0.000000
24.8,LL6,2008,0.000000,0.000000
28.7,LL6,2008,0.000000,0.000000
29.2,LL5,2008,0.000000,0.000000
20.8,LL6,2008,0.000000,0.000000
28.7,L6,2008,0.000000,0.000000
28.5,H5,2008,0.000000,0.000000
23.7,L6,2008,0.000000,0.000000
57.1,LL6,2008,0.000000,0.000000
23.9,LL6,2008,0.000000,0.000000
22.2,LL6,2008,0.000000,0.000000
9.699999999999999,LL6,2008,0.000000,0.000000
15.6,L6,2008,0.000000,0.000000
11.1,L6,2008,0.000000,0.000000
5.4,L5,2008,0.000000,0.000000
5.6,L5,2008,0.000000,0.000000
13.3,L6,2008,0.000000,0.000000
9.6,L5,2008,0.000000,0.000000
2.8,L6,2008,0.000000,0.000000
9.199999999999999,LL6,2008,0.000000,0.000000
4.9,LL6,2008,0.000000,0.000000
3.4,L6,2008,0.000000,0.000000
12.9,LL6,2008,0.000000,0.000000
18.5,L5,2008,0.000000,0.000000
12.9,L6,2008,0.000000,0.000000
7.3,L6,2008,0.000000,0.000000
20.3,LL6,2008,0.000000,0.000000
28.2,L6,2008,0.000000,0.000000
7.1,L5,2008,0.000000,0.000000
19.2,LL6,2008,0.000000,0.000000
7.1,L6,2008,0.000000,0.000000
14.1,LL6,2008,0.000000,0.000000
3,LL6,2008,0.000000,0.000000
15.9,L5,2008,0.000000,0.000000
12.4,LL6,2008,0.000000,0.000000
18.899999999999999,LL6,2008,0.000000,0.000000
19.100000000000001,LL6,2008,0.000000,0.000000
3.5,L5,2008,0.000000,0.000000
19.5,LL6,2008,0.000000,0.000000
8.300000000000001,L5,2008,0.000000,0.000000
18,L6,2008,0.000000,0.000000
21,H6,2008,0.000000,0.000000
24,L6,2008,0.000000,0.000000
35.6,LL6,2008,0.000000,0.000000
19.8,LL6,2008,0.000000,0.000000
30.6,L6,2008,0.000000,0.000000
26.1,LL6,2008,0.000000,0.000000
19,L6,2008,0.000000,0.000000
34.799999999999997,LL6,2008,0.000000,0.000000
4,L5,2008,0.000000,0.000000
3.4,LL6,2008,0.000000,0.000000
2.2,L6,2008,0.000000,0.000000
1,LL6,2008,0.000000,0.000000
11.4,L6,2008,0.000000,0.000000
5.7,LL6,2008,0.000000,0.000000
4.1,LL5,2008,0.000000,0.000000
10.3,L6,2008,0.000000,0.000000
3,LL6,2008,0.000000,0.000000
6.2,L6,2008,0.000000,0.000000
7.2,H6,2008,0.000000,0.000000
14.6,H6,2008,0.000000,0.000000
12.7,L5,2008,0.000000,0.000000
6.8,L6,2008,0.000000,0.000000
8,L6,2008,0.000000,0.000000
11,LL6,2008,0.000000,0.000000
8.9,L6,2008,0.000000,0.000000
9.5,L6,2008,0.000000,0.000000
21.4,LL6,2008,0.000000,0.000000
14.6,L6,2008,0.000000,0.000000
38.700000000000003,LL6,2008,0.000000,0.000000
19.8,LL6,2008,0.000000,0.000000
24.3,LL6,2008,0.000000,0.000000
21,LL5,2008,0.000000,0.000000
19,L6,2008,0.000000,0.000000
48.7,L6,2008,0.000000,0.000000
20.9,H6,2008,0.000000,0.000000
28.5,LL6,2008,0.000000,0.000000
18,LL6,2008,0.000000,0.000000
4.4,L6,2008,0.000000,0.000000
5.2,H6,2008,0.000000,0.000000
4.1,H6,2008,0.000000,0.000000
