mass,recclass,year,reclat,reclong
438,L5,1907,40.000000,29.000000
230,H6,1899,21.866670,82.450000
5500,LL6,1970,32.916670,120.783330
1250,L6,1962,13.050000,3.166670
1161,LL6,1932,32.333330,-6.300000
5000,L6,1827,36.400000,-86.500000
47700,H6,1939,42.520000,-82.260000
30,L6,1999,-31.666670,152.833330
2270,H5,1865,52.550000,-8.033330
13200,L6,1815,30.300000,76.633330
577,L6,1853,-4.000000,39.500000
2117,L6,1943,33.433330,127.266670
2400,H5,1961,-17.300000,15.833330
3000,H5,1785,48.900000,11.216670
3336,H4,1939,56.033330,13.000000
840,H6,1916,28.266670,78.783330
10000,L6,1989,34.416670,3.250000
17226,H5,1977,25.370000,-97.370000
5000,L6,1993,19.967220,-103.051670
680.5,LL6,1998,39.246670,-104.588170
54640,L5,1951,47.833330,37.666670
8000,H5,1974,30.300000,109.500000
127000,LL6,1491,47.866670,7.350000
277,H5,1822,48.183330,6.466670
20000,L5,1889,1.166670,44.166670
2250,H6,1812,52.216670,11.250000
1500,L6,1837,46.250000,-1.100000
89400,L5,1890,39.750000,-97.033330
56000,H4,1934,35.550000,-77.533330
1500,H5,1844,44.383330,2.816670
2360,H4,1934,36.050000,-94.166670
380,H4,1875,36.883330,8.450000
82,H5,1924,34.600000,116.750000
17600,L6,1894,47.816670,-96.850000
152000,H5,1890,43.250000,-93.666670
26000,H4,1942,-33.350000,146.858330
6067,L6,1924,36.783330,-78.083330
240,H6,1900,50.950000,7.316670
16300,L6,1829,33.016670,-83.966670
23000,L5,1945,31.475560,113.566940
11620,L5,1882,33.183330,130.200000
4000,L6,1822,25.950000,80.816670
132.69999999999999,H6,1826,44.300000,0.400000
36.1,LL6,1952,7.050000,12.433330
5000,H4,1995,51.683330,30.783330
6400,L6,1897,27.350000,68.533330
null,H5,1960,11.650000,-2.183330
4162,L6,1984,12.850000,11.033330
null,H5,2000,14.150830,-2.041670
725,H5,1950,12.916670,11.916670
14290,L6,1909,35.533330,136.883330
