continent,total_cases
Asia,74026
Asia,75119
Asia,76628
Asia,77963
Asia,79224
Asia,80841
Asia,82326
Asia,84050
Asia,85892
Asia,87716
Asia,88740
Asia,89861
Asia,91458
Asia,93272
Asia,93288
Asia,96531
Asia,98734
Asia,100521
Asia,101906
Asia,103902
Asia,105749
Asia,107957
Asia,109532
Asia,111592
Asia,113124
Asia,114220
Asia,115751
Asia,117158
Asia,118659
Asia,120216
Asia,122156
Asia,123485
Asia,124748
Asia,125937
Asia,127464
Asia,129021
Asia,130113
Asia,131586
Asia,132777
Asia,133578
Asia,134653
Asia,135889
Asia,136643
Asia,137853
Asia,139051
Asia,140224
Asia,140602
Asia,141499
Asia,142414
Asia,142762
Asia,143183
Asia,143439
Asia,143666
Asia,143871
Asia,144285
Asia,145008
Asia,145552
Asia,145996
Asia,146523
Asia,147154
Asia,147501
Asia,147985
Asia,148572
Asia,148933
Asia,149361
Asia,149810
Asia,150240
Asia,150458
Asia,150778
Asia,151013
Asia,151291
Asia,151563
Asia,151770
Asia,151941
Asia,152033
Asia,152142
Asia,152243
Asia,152363
Asia,152411
Asia,152448
Asia,152497
Asia,152511
Asia,152583
Asia,152660
Asia,152722
Asia,152822
Asia,152960
Asia,153007
Asia,153033
Asia,153148
Asia,153220
Asia,153260
Asia,153306
Asia,153375
Asia,153395
Asia,153423
Asia,153534
Asia,153626
Asia,153736
Asia,153840
Asia,153962
Asia,153982
Asia,153990
Asia,154094
Asia,154180
Asia,154283
Asia,154361
Asia,154487
Asia,154487
Asia,154487
Asia,154585
Asia,154712
Asia,154757
Asia,154800
Asia,154960
Asia,154960
Asia,154960
Asia,155072
Asia,155093
Asia,155128
Asia,155174
Asia,155191
Asia,155191
Asia,155191
Asia,155287
Asia,155309
Asia,155380
Asia,155429
Asia,155448
Asia,155466
Asia,155508
Asia,155540
Asia,155599
Asia,155627
Asia,155682
Asia,155688
Asia,155739
Asia,155764
Asia,155776
Asia,155801
Asia,155859
Asia,155891
Asia,155931
Asia,155940
Asia,155944
Asia,156040
Asia,156071
Asia,156124
Asia,156166
Asia,156196
Asia,156210
Asia,156250
Asia,156284
Asia,156307
Asia,156323
Asia,156363
Asia,156392
Asia,156397
Asia,156397
Asia,156397
Asia,156397
Asia,156414
Asia,156456
Asia,156487
Asia,156510
Asia,156552
Asia,156610
Asia,156649
Asia,156739
Asia,156739
Asia,156812
Asia,156864
Asia,156896
Asia,156911
Asia,157015
Asia,157032
Asia,157144
Asia,157171
Asia,157190
Asia,157218
Asia,157260
Asia,157289
Asia,157359
Asia,157387
Asia,157412
Asia,157431
Asia,157454
Asia,157499
Asia,157508
Asia,157542
Asia,157585
Asia,157603
Asia,157611
Asia,157633
Asia,157648
Asia,157660
Asia,157665
Asia,157725
Asia,157734
Asia,157745
Asia,157787
Asia,157797
Asia,157816
Asia,157841
Asia,157878
Asia,157887
Asia,157895
Asia,157951
Asia,157967
Asia,157998
Asia,158037
Asia,158056
Asia,158084
Asia,158107
Asia,158189
Asia,158183
Asia,158205
Asia,158245
Asia,158275
Asia,158300
Asia,158309
Asia,158381
Asia,158394
Asia,158471
Asia,158511
Asia,158602
Asia,158639
Asia,158678
Asia,158717
Asia,158826
Asia,158974
Asia,159070
Asia,159303
Asia,159516
Asia,159548
Asia,159649
Asia,159896
Asia,160252
Asia,160692
Asia,161004
Asia,161057
Asia,161290
Asia,162111
Asia,162926
Asia,163555
Asia,164190
Asia,164727
Asia,165358
Asia,165711
Asia,166191
Asia,166924
Asia,167739
Asia,168550
Asia,169448
Asia,169940
Asia,170152
Asia,170604
Asia,171246
Asia,171422
Asia,171519
Asia,171673
Asia,171857
Asia,171931
Asia,172205
Asia,172441
Asia,172716
Asia,172901
Asia,173047
Asia,173084
Asia,173146
Asia,173395
Asia,173659
Asia,173879
Asia,174073
Asia,174214
Asia,174214
Asia,174331
Europe,2
Europe,10
Europe,12
Europe,23
Europe,33
Europe,38
Europe,42
Europe,51
Europe,55
Europe,59
Europe,64
Europe,70
Europe,76
Europe,89
Europe,104
Europe,123
Europe,146
Europe,174
Europe,186
Europe,197
Europe,212
Europe,223
Europe,243
Europe,259
Europe,277
Europe,304
Europe,333
Europe,361
Europe,377
Europe,383
Europe,400
Europe,409
Europe,416
Europe,433
Europe,446
Europe,467
Europe,475
Europe,494
Europe,518
Europe,539
Europe,548
Europe,562
Europe,584
Europe,609
Europe,634
Europe,663
Europe,678
Europe,712
Europe,726
Europe,736
Europe,750
Europe,766
Europe,773
Europe,782
Europe,789
Europe,795
Europe,803
Europe,820
Europe,832
Europe,842
Europe,850
Europe,856
Europe,868
Europe,872
Europe,876
Europe,880
Europe,898
Europe,916
Europe,933
Europe,946
Europe,948
Europe,949
Europe,964
Europe,969
Europe,981
Europe,989
Europe,998
Europe,1004
Europe,1029
Europe,1050
Europe,1076
Europe,1099
Europe,1122
Europe,1137
Europe,1143
Europe,1164
Europe,1184
Europe,1197
Europe,1212
Europe,1232
Europe,1246
Europe,1263
Europe,1299
Europe,1341
Europe,1385
Europe,1416
Europe,1464
Europe,1521
Europe,1590
Europe,1672
Europe,1722
Europe,1788
Europe,1838
Europe,1891
Europe,1962
Europe,1995
Europe,2047
Europe,2114
Europe,2192
Europe,2269
Europe,2330
Europe,2402
Europe,2466
Europe,2535
Europe,2580
Europe,2662
Europe,2752
Europe,2819
Europe,2893
Europe,2964
Europe,3038
Europe,3106
Europe,3188
Europe,3278
Europe,3371
Europe,3454
Europe,3571
Europe,3667
Europe,3752
Europe,3851
Europe,3906
Europe,4008
Europe,4090
Europe,4171
Europe,4290
Europe,4358
Europe,4466
Europe,4570
Europe,4637
Europe,4763
Europe,4880
Europe,4997
Europe,5105
Europe,5197
Europe,5276
Europe,5396
Europe,5519
Europe,5620
Europe,5750
Europe,5889
Europe,6016
Europe,6151
Europe,6275
Europe,6411
Europe,6536
Europe,6676
Europe,6817
Europe,6971
Europe,7117
Europe,7260
Europe,7380
Europe,7499
Europe,7654
Europe,7812
Europe,7967
Europe,8119
Europe,8275
Europe,8427
Europe,8605
Europe,8759
Europe,8927
Europe,9083
Europe,9195
Europe,9279
Europe,9380
Europe,9513
Europe,9606
Europe,9728
Europe,9844
Europe,9967
Europe,10102
Europe,10255
Europe,10406
Europe,10553
Europe,10704
Europe,10860
Europe,11021
Europe,11185
Europe,11353
Europe,11520
Europe,11672
Europe,11816
Europe,11948
Europe,12073
Europe,12226
Europe,12385
Europe,12535
Europe,12666
Europe,12787
Europe,12921
Europe,13045
Europe,13153
Europe,13259
Europe,13391
Europe,13518
Europe,13649
Europe,13806
Europe,13965
Europe,14117
Europe,14266
Europe,14410
Europe,14568
Europe,14730
Europe,14899
Europe,15066
Europe,15231
Europe,15399
Europe,15570
Europe,15752
Europe,15955
Europe,16212
Europe,16501
Europe,16774
Europe,17055
Europe,17350
Europe,17651
Europe,17948
Europe,18250
Europe,18556
Europe,18858
Europe,19157
Europe,19445
Europe,19729
Europe,20040
Europe,20315
Europe,20634
Europe,20875
Europe,21202
Europe,21523
Europe,21904
Europe,22300
Europe,22721
Europe,23210
Europe,23705
Europe,24206
Europe,24731
Europe,25294
Europe,25801
Europe,26211
Europe,26701
Europe,27233
Europe,27830
Europe,28432
Europe,29126
Europe,29837
Europe,30623
Europe,31459
Europe,32196
Europe,32761
Europe,33556
Europe,34300
Europe,34944
Europe,35600
Europe,36245
Europe,36790
Europe,37625
Europe,38182
Europe,39014
Europe,39719
Europe,40501
Europe,41302
Europe,42148
Europe,42988
Europe,43683
Europe,44436
Europe,45188
Europe,46061
Europe,46863
Europe,47742
Europe,48530
Europe,49191
Europe,50000
Europe,50637
Europe,51424
Europe,52004
Europe,52542
Europe,53003
Europe,53425
Europe,53814
Europe,54317
Europe,54827
Europe,55380
Europe,55755
Europe,56254
Europe,56572
Europe,57146
Europe,57727
Europe,58316
Europe,58316
Europe,58991
Europe,59438
Europe,59623
Europe,60283
Europe,61008
Europe,61705
Europe,62378
Europe,63033
Europe,63595
Europe,63971
Europe,64627
Europe,65334
Europe,65994
Europe,66635
Europe,67216
Europe,67690
Europe,67982
Europe,68568
Europe,69238
Europe,69916
Europe,70655
Europe,71441
Europe,72274
Europe,72812
Europe,73691
Europe,74567
Europe,75454
Europe,76350
Europe,77251
Europe,78127
Europe,78992
Europe,79934
Europe,80941
Europe,81993
Europe,83082
Europe,84212
Europe,85336
Europe,86289
Europe,87528
Europe,88671
Europe,89776
Europe,90835
Europe,91987
Europe,93075
Europe,93850
Europe,94651
Europe,95726
Europe,96838
Europe,97909
Europe,99062
Europe,100246
Europe,101285
Europe,102306
Europe,103327
Europe,104313
Europe,105229
Europe,106215
Europe,107167
Europe,107931
Europe,108823
Europe,109674
Europe,110521
Europe,111301
Europe,112078
Europe,112897
Europe,113580
Europe,114209
Europe,114840
Europe,115442
Europe,116123
Europe,116821
Europe,117474
Europe,118017
Europe,118492
Europe,118938
Europe,119528
Europe,120022
Europe,120541
Europe,121200
Europe,121544
Europe,121847
Europe,122295
Europe,122767
Europe,123216
Europe,123641
Europe,124134
Europe,124419
Europe,124723
Europe,125157
Europe,125506
Europe,125842
Europe,126183
Europe,126531
Europe,126795
Europe,126936
Europe,127192
Europe,127509
Europe,127795
Europe,128155
Europe,128393
Europe,128518
Europe,128752
Europe,128959
Europe,129128
Europe,129307
Europe,129456
Europe,129594
Europe,129694
Europe,129842
Europe,129980
Europe,130114
Europe,130270
Europe,130409
Europe,130537
Europe,130606
Europe,130736
Europe,130859
Europe,130977
Europe,131085
Europe,131185
Europe,131238
Europe,131276
Europe,131327
Europe,131419
Europe,131510
Europe,131577
Europe,131666
Europe,131723
Europe,131753
Europe,131803
Europe,131845
Europe,131890
Europe,131939
Europe,131978
Europe,132015
Europe,132032
Europe,132071
Europe,132095
Europe,132118
Europe,132153
Europe,132176
Europe,132209
Europe,132215
Europe,132229
Europe,132244
Europe,132264
Europe,132285
Europe,132297
Europe,132309
Europe,132315
Europe,132337
Europe,132351
Europe,132360
Europe,132372
Europe,132374
Europe,132379
Europe,132384
Europe,132397
Europe,132415
Europe,132426
Europe,132437
Europe,132449
Europe,132459
Europe,132461
Europe,132469
Europe,132476
Europe,132481
Europe,132484
Europe,132488
Europe,132490
Europe,132490
Europe,132496
Europe,132497
Europe,132499
Europe,132506
Europe,132509
Europe,132512
Europe,132513
Europe,132514
Europe,132521
Europe,132523
Europe,132526
Europe,132534
Europe,132535
Europe,132537
Europe,132544
Europe,132557
Europe,132565
Europe,132580
Europe,132587
Europe,132592
Europe,132597
Europe,132608
Europe,132616
Europe,132629
Europe,132647
Europe,132665
Europe,132686
Europe,132697
Europe,132740
Europe,132763
Europe,132797
Europe,132828
Europe,132853
Europe,132875
Europe,132891
Europe,132922
Europe,132952
Europe,132999
Europe,133036
Europe,133081
Europe,133121
Europe,133146
Europe,133211
Europe,133310
Europe,133442
Europe,133591
Europe,133730
Europe,133912
Europe,133981
Europe,134201
Europe,134487
Europe,134761
Europe,135140
Europe,135550
Europe,135947
Europe,136147
